HIP,RAdeg,DEdeg,Vmag,Plx,abs_mag,dist (pc),x,y,z
70890,217.44894751,-62.68135207,11.01,772.33,15.449014523417619,1.2947833180117307,-0.4717535040256578,-0.3613218057584357,-1.150373428380734
71681,219.91412833,-60.83947139,1.35,742.12,5.702370679522524,1.3474909718104886,-0.5035983605252764,-0.42128462746271,-1.1767072163671957
71683,219.92041034,-60.83514707,-0.01,742.12,4.342370679522524,1.3474909718104886,-0.5036202775891513,-0.42139683077676704,-1.1766576588469129
87937,269.45402305,4.66828815,9.54,549.01,13.237901275121734,1.821460446986394,-0.017299028654093218,-1.8153354844285732,0.14824298471758227
54035,165.83588409,35.98146424,7.49,392.4,10.458644993539554,2.5484199796126408,-1.9995062055819008,0.5046205999477699,1.4972566167617076
32349,101.28854105,-16.71314306,-1.44,379.21,1.4543989071428474,2.637061258933045,-0.4943985261712509,2.476800792705197,-0.7583666751249952
92403,282.45398321,-23.83576457,10.37,336.48,13.004796276711225,2.971944840703756,0.5862507907344742,-2.654493842765832,-1.2010114842361703
16537,53.23509009,-9.45830584,3.72,310.75,6.182055686568412,3.2180209171359597,1.8999076349705568,2.5429043083650344,-0.5288168683048025
114046,346.44652092,-35.8562971,7.35,303.9,9.763653500399712,3.2905561039815727,2.5926879074758666,-0.6250093308576654,-1.9274574506898063
57548,176.93351286,0.80752617,11.12,299.58,13.502564082193766,3.3380065424928236,-3.3328959019685644,0.1785480903552314,0.04704427485405329
104214,316.71181258,38.74149446,5.2,287.13,7.490392854746412,3.4827430083934106,1.9773502248892736,-1.8625910515588184,2.1795273628235408
37279,114.82724194,5.22750767,0.4,285.93,2.681298621332361,3.4973594935823438,-1.4623763023778948,3.160924416030282,0.3186468479958934
104217,316.71746843,38.73441392,6.05,285.42,8.327422009017727,3.503608716978486,1.9895790587358235,-1.8737395365411282,2.192247558997421
91772,280.70212389999995,59.62236064,9.7,284.48,11.970258696450598,3.5151856017997742,0.3301092923616569,-1.7466991554026017,3.0325896080269032
91768,280.70090582,59.62601593,8.94,280.28,11.17796054410769,3.5678607107178526,0.3349818317014521,-1.7726876336211663,3.0781481083795548
1475,4.58559067,44.02195597,8.09,280.27,10.327883067614607,3.5679880115602813,2.5574332211192874,0.20511887128829676,2.4795160856091933
108870,330.82266498,-56.77980602,4.69,275.76,6.892656351999457,3.626341746446185,1.7346356610100258,-0.9685547888967094,-3.0336933276908415
8102,26.02136441,-15.93955597,3.49,274.17,5.680099660231618,3.647372068424698,3.1516209923156886,1.538603257722499,-1.0016527051056408
5643,18.12459256,-17.00053959,12.1,269.05,14.249164981912566,3.71678126742241,3.3780059171124615,1.105707555751107,-1.086715148955902
36208,111.85068549,5.23476432,9.84,263.26,11.941924384802036,3.798526171845324,-1.4078733498451068,3.510923824811232,0.3465654416739765
24186,77.89672045,-45.00448677,8.86,255.26,10.894913824504805,3.9175742380318113,0.5807830101898698,2.7083543366992084,-2.770360227921256
105090,319.32379676,-38.86457451,6.69,253.37,8.708775957122292,3.946797174093223,2.330654488781538,-2.00299556884346,-2.476543223637776
110893,337.00174003,57.69702005,9.59,249.52,11.575526808745437,4.007694773966015,1.9714681736313548,-0.8367679318891983,3.3874400466716783
30920,97.345813,-2.81247539,11.12,242.89,13.04704817439166,4.1170900407591935,-0.5257674956178903,4.078380705646051,-0.20201426703144185
72511,222.38963876,-26.1060337,11.72,235.24,13.57755585365,4.250977724876721,-2.8193697164575577,-2.5735035216132096,-1.8705736135112412
80824,247.57547824,-12.65971367,10.1,234.51,11.950806833383904,4.2642104814293615,-1.587105745301556,-3.84593440210472,-0.9345453214639856
439,1.33455564,-37.3516811,8.56,229.33,10.362304355250892,4.360528496053721,3.4653596318913795,0.08073110828600373,-2.6455573845050284
15689,50.52321876,-13.27811998,12.16,227.45,13.944429705829869,4.396570674873601,2.7204631035181697,3.3029118032207494,-1.0097959307205868
3829,12.28823784,5.39519773,12.37,226.95,14.14965093539434,4.406256884776382,4.286233237613955,0.9336282768648564,0.4142977287543512
72509,222.38618849,-26.11117761,12.07,221.8,13.799807709065707,4.508566275924255,-2.9902425815736797,-2.7291451516911454,-1.984284734796346
86162,264.1100265,68.34222717,9.15,220.85,10.87048701797205,4.527960153950646,-0.17148546344639262,-1.6622754274008595,4.20830800857668
85523,262.16440365,-46.89305173,9.38,220.43,11.096353503254004,4.53658757882321,-0.4226444529632265,-3.071188082582778,-3.312069185284928
114110,346.66203219,-14.87239655,12.24,216.52,13.91749009209512,4.61851099205616,4.343384841591627,-1.0297721816891898,-1.1854202442149928
57367,176.41359792,-64.84067419,11.5,216.4,13.176286282172661,4.621072088724582,-1.9607405818149728,0.12289216673659607,-4.1826667492603375
113020,343.31731628,-14.26205842,10.16,212.69,11.798735356262279,4.70167849922422,4.364970877733323,-1.308116204158971,-1.1582926845249562
54211,166.38385827,43.52448449,8.82,206.94,10.39922222375517,4.8323185464385805,-3.4053424353192234,0.8248546325025531,3.32784619051234
49908,152.84734577,49.45546425,6.6,205.22,8.161098416369864,4.87281941331254,-2.8184416032772233,1.4455393495459623,3.702859969346117
82725,253.6339477,-62.40374141,11.72,203.01,13.257587156015658,4.925865720900448,-0.6429634710915785,-2.189390971257028,-4.365468846545828
85605,262.40078667,24.65322144,11.39,202.69,12.924161613421875,4.9336425082638495,-0.5929681986532827,-4.444555432063393,2.057946579979585
106440,323.39173448,-49.007018,8.66,202.53,10.192446813542414,4.9375401175134535,2.599935855016659,-1.9314647698494791,-3.72680557645336
86214,264.26766824,-44.31693542,10.94,198.32,12.426832568798824,5.042355788624442,-0.3603451745687868,-3.589695343873328,-3.5227248817376537
19849,63.8234923,-7.64455846,4.43,198.24,5.915956445159942,5.044390637610976,2.2054946526876367,4.486799965436926,-0.6710412147839372
112460,341.70961216,44.33510774,10.29,198.07,11.774093507902446,5.048720149442117,3.4287279680253167,-1.1333052640190622,3.528316715830723
