id,proper,mag,absmag,dist,ra,dec,x,y,z
34354,Wezen,1.83,-6.632999999999999,492.6108,7.139857000000001,-26.3932,-129.733458,421.761488,-218.979855
100128,Sadr,2.23,-6.518,561.7978,20.370473,40.256679,249.31822799999998,-348.795593,363.040966
97987,Cygnus X-1,8.84,-0.033,595.2381,19.972688,35.201603999999996,240.17498999999998,-422.95089800000005,343.12807999999995
26246,Alnilam,1.69,-7.223,606.0606,5.603559,-1.20192,62.775121999999996,602.6669099999999,-12.712683
35806,Aludra,2.45,-6.476,609.7561,7.401584,-29.303103999999998,-190.76216599999998,496.33712199999997,-298.432917
25920,Arneb,2.58,-6.582999999999999,680.2721,5.545504,-17.822289,76.877195,643.047236,-208.208
26176,Hatsya,2.75,-6.519,714.2857,5.5905510000000005,-5.9099010000000005,76.014147,706.411475,-73.54604
60731,3C 273,12.88,-7.12,100000.0,12.485192999999999,2.052398,-99130.70606,-12660.058622,3581.3449630000005
95992,Campbell's Hydrogen Star,10.0,-10.0,100000.0,19.579231,30.516371000000003,34611.284098000004,-78889.844899,50778.453408
111893,Babcock's star,8.83,-11.17,100000.0,22.735418,55.589226000000004,53443.383418,-18369.410721,82500.724352
